Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
140,Friday Sep 6,boxscore,MIA,,KCR,L,0,3,,50-90,5,37.0,Lopez,Lopez,Kennedy,2:52,N,8915,-,
141,Saturday Sep 7,boxscore,MIA,,KCR,L,2,7,,50-91,5,38.0,Duffy,Conley,Hill,3:24,N,13112,--,
142,Sunday Sep 8,boxscore,MIA,,KCR,W,9,0,,51-91,5,37.0,Alcantara,Montgomery,,2:40,D,10934,+,
143,Monday Sep 9,boxscore,MIA,,MIL,L,3,8,,51-92,5,38.0,Albers,Dugger,,4:08,N,6672,-,
144,Tuesday Sep 10,boxscore,MIA,,MIL,L,3,4,,51-93,5,38.0,Guerra,Conley,Pomeranz,3:20,N,7215,--,
145,Wednesday Sep 11,boxscore,MIA,,MIL,L,5,7,,51-94,5,39.0,Suter,Urena,Hader,3:02,N,7815,---,
146,Thursday Sep 12,boxscore,MIA,,MIL,L,2,3,,51-95,5,39.0,Peralta,Smith,Hader,2:59,D,7375,----,
147,Friday Sep 13,boxscore,MIA,@,SFG,L,0,1,,51-96,5,40.0,Beede,Alcantara,Anderson,2:22,N,33418,-----,
148,Saturday Sep 14,boxscore,MIA,@,SFG,W,4,2,,52-96,5,40.0,Garcia,Anderson,Urena,2:56,N,38663,+,
149,Sunday Sep 15,boxscore,MIA,@,SFG,L,1,2,,52-97,5,40.0,Rogers,Garcia,Smith,2:51,D,39663,-,
150,Monday Sep 16,boxscore,MIA,@,ARI,L,5,7,,52-98,5,40.5,Hirano,Guerrero,Ginkel,3:24,N,15897,--,
151,Tuesday Sep 17,boxscore,MIA,@,ARI,W,12,6,,53-98,5,39.5,Smith,Andriese,,3:49,N,19745,+,
152,Wednesday Sep 18,boxscore,MIA,@,ARI,L,4,5,,53-99,5,39.5,Leake,Alcantara,Bradley,2:55,D,17731,-,
153,Friday Sep 20,boxscore,MIA,,WSN,L,4,6,,53-100,5,41.0,Sanchez,Dugger,Hudson,3:13,N,12775,--,
154,Saturday Sep 21,boxscore,MIA,,WSN,L,4,10,10,53-101,5,42.0,Suero,Urena,,4:20,N,18085,---,
155,Sunday Sep 22,boxscore,MIA,,WSN,W,5,3,,54-101,5,41.0,Garcia,Suero,Brigham,3:13,D,19709,+,
156,Monday Sep 23,boxscore,MIA,@,NYM,W,8,4,,55-101,5,40.5,Smith,Matz,,3:25,N,21189,++,
157,Tuesday Sep 24,boxscore,MIA,@,NYM,L-wo,4,5,11,55-102,5,40.5,Sewald,Conley,,3:51,N,21766,-,
158,Wednesday Sep 25,boxscore,MIA,@,NYM,L,3,10,,55-103,5,41.5,deGrom,Dugger,,2:48,N,21471,--,
159,Thursday Sep 26,boxscore,MIA,@,NYM,W,4,2,,56-103,5,41.0,Brigham,Wheeler,Urena,2:45,N,21729,+,
160,Friday Sep 27,boxscore,MIA,@,PHI,L-wo,4,5,15,56-104,5,41.0,Suarez,Conley,,5:13,N,24143,-,
161,Saturday Sep 28,boxscore,MIA,@,PHI,L,3,9,,56-105,5,41.0,Eflin,Smith,,3:06,N,25156,--,
162,Sunday Sep 29,boxscore,MIA,@,PHI,W,4,3,,57-105,5,40.0,Alcantara,Parker,Kinley,2:50,D,31805,+,
